incd
Incidence Rate Report for United States by County,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2013-2017",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,***,448.7,448.4,449,N/A , N/A , N/A,1673102,falling,-1.0,-1.2,-0.8
"Union County, Florida(6)",12125,***,1143.5,1072.7,1218,N/A ,1,1,213,stable,0.1,-1.0,1.3
"Logan County, Nebraska(6)",31113,***,739.4,500,1056.3,N/A ,1,81,7,*,*,*,*
"Greer County, Oklahoma(6)",40055,***,710.4,624.4,805.3,N/A ,1,2,52,rising,30.8,3.9,64.8
"Powell County, Kentucky(7)",21197,***,648.2,588.6,712.4,N/A ,1,38,93,stable,0.9,-0.4,2.3
"Sherman County, Nebraska(6)",31163,***,629.5,517.1,760.8,N/A ,1,44,28,stable,0.9,-2.4,4.3
"Palo Alto County, Iowa(7)",19147,***,627.2,562.2,698,N/A ,1,19,78,stable,0.4,-0.3,1.2
"Kingsbury County, South Dakota(6)",46077,***,621.5,538.6,714.8,N/A ,1,23,47,stable,1.6,-0.8,4.0
"Yukon-Koyukuk Census Area, Alaska(6)",2290,***,612.8,522.5,714.4,N/A ,1,3,37,stable,1.5,-1.1,4.2
"Estill County, Kentucky(7)",21065,***,610.1,559.1,664.7,N/A ,1,55,113,stable,0.9,-0.3,2.1
"Floyd County, Kentucky(7)",21071,***,609.8,577.5,643.4,N/A ,1,28,288,stable,2.9,-0.1,6.0
"Taylor County, Kentucky(7)",21217,***,608.8,569.6,650,N/A ,1,36,193,rising,1.1,0.1,2.0
"Prairie County, Montana(6)",30079,***,606.6,445.5,817.2,N/A ,1,47,12,stable,0.3,-3.0,3.7
"Woodruff County, Arkansas(6)",5147,***,603.9,532.4,683.2,N/A ,1,27,59,rising,1.7,0.2,3.2
"Golden Valley County, Montana(6)",30037,***,603.3,412.1,865.3,N/A ,1,54,8,stable,1.0,-3.1,5.3
"Lee County, Kentucky(7)",21129,***,603.2,531.5,682.6,N/A ,1,98,55,stable,1.0,-0.6,2.6
"Perry County, Kentucky(7)",21193,***,603.1,565.4,642.7,N/A ,1,40,204,stable,0.7,-0.1,1.5
"Breathitt County, Kentucky(7)",21025,***,595.6,542.6,652.6,N/A ,1,80,100,rising,1.6,0.3,3.0
"Lawrence County, Kentucky(7)",21127,***,594.6,546,646.6,N/A ,1,71,119,stable,0.8,0.0,1.6
"Pickens County, Georgia(7)",13227,***,584.3,551,619.3,N/A ,1,13,259,rising,1.2,0.4,2.0
"Carter County, Kentucky(7)",21043,***,583.4,546.8,621.9,N/A ,1,64,202,rising,0.9,0.1,1.7
"Towns County, Georgia(7)",13281,***,582.8,528.4,642.1,N/A ,1,44,123,stable,0.5,-0.6,1.6
"Monroe County, Kentucky(7)",21171,***,581.1,524.5,642.6,N/A ,1,99,83,rising,1.9,0.5,3.3
"Polk County, Texas(6)",48373,***,580,552.7,608.5,N/A ,1,4,376,stable,1.6,-0.1,3.4
"Owsley County, Kentucky(7)",21189,***,579.8,494.3,677,N/A ,1,118,35,stable,0.4,-1.7,2.5
"Carroll County, Kentucky(7)",21041,***,576,516.5,640.7,N/A ,1,102,72,stable,-0.2,-1.3,0.9
"Nicholas County, Kentucky(7)",21181,***,575.5,505.8,652.7,N/A ,1,111,52,stable,0.9,-0.9,2.8
"Mingo County, West Virginia(6)",54059,***,575.4,537.3,615.7,N/A ,1,10,184,stable,-0.1,-1.3,1.1
"Knox County, Kentucky(7)",21121,***,574.5,540.5,610.3,N/A ,2,66,223,stable,0.4,-0.4,1.1
"Bath County, Kentucky(7)",21011,***,569.8,516.1,627.9,N/A ,1,102,87,stable,0.6,-0.3,1.5
"Miner County, South Dakota(6)",46097,***,565.3,447.8,707.1,N/A ,1,55,19,stable,0.9,-2.2,4.1
"Russell County, Kentucky(7)",21207,***,564.8,521.5,611,N/A ,1,90,136,stable,0.7,-0.5,1.8
"McLean County, Kentucky(7)",21149,***,564.8,506,629.1,N/A ,1,109,71,stable,0.7,-0.3,1.7
"Cape May County, New Jersey(7)",34009,***,564.6,546.7,583.1,N/A ,1,3,881,stable,-0.2,-0.6,0.2
"Bracken County, Kentucky(7)",21023,***,564.5,500.7,634.6,N/A ,1,113,60,stable,0.7,-1.3,2.8
"Fleming County, Kentucky(7)",21069,***,564.3,515.3,616.9,N/A ,1,102,104,stable,0.6,-0.6,1.7
"Lewis County, Kentucky(7)",21135,***,563.7,514.4,616.8,N/A ,1,104,102,rising,1.1,0.1,2.0
"Cerro Gordo County, Iowa(7)",19033,***,562.9,535.5,591.5,N/A ,1,20,352,rising,0.5,0.2,0.9
"Mercer County, Kentucky(7)",21167,***,562.9,523.3,604.8,N/A ,2,92,162,stable,0.5,-0.5,1.4
"Pike County, Kentucky(7)",21195,***,562.7,538.7,587.5,N/A ,6,63,444,stable,0.3,-0.1,0.7
"Lincoln County, Kentucky(7)",21137,***,561.5,524,601.1,N/A ,2,87,176,rising,0.5,0.1,0.9
"Grundy County, Illinois(6)",17063,***,559.8,531.3,589.4,N/A ,1,27,302,stable,0.1,-0.6,0.7
"Johnson County, Kentucky(7)",21115,***,559.1,520.4,600.2,N/A ,2,94,165,stable,0.6,-0.1,1.3
"Clay County, Kentucky(7)",21051,***,559.1,516.6,604.2,N/A ,2,101,135,rising,1.1,0.3,1.8
"Warren County, New York(7)",36113,***,558.7,536.5,581.6,N/A ,1,17,528,stable,0.2,-0.7,1.0
"Nassau County, Florida(6)",12089,***,557.5,537.2,578.4,N/A ,2,4,632,stable,0.6,-0.2,1.5
"Petersburg City, Virginia(6)",51730,***,556.8,523.6,591.7,N/A ,1,22,225,stable,0.8,-0.4,2.0
"Logan County, Illinois(6)",17107,***,556.4,522.6,591.9,N/A ,1,37,212,stable,0.5,-0.4,1.3
"Lee County, Georgia(7)",13177,***,556.2,516.7,598,N/A ,1,61,162,rising,1.3,0.2,2.4
"Logan County, West Virginia(6)",54045,***,556,524.9,588.5,N/A ,1,13,262,stable,0.1,-0.8,1.0
"Catahoula Parish, Louisiana(7)",22025,***,554.9,496.9,618,N/A ,1,47,70,falling,-10.0,-16.4,-3.2
"Holmes County, Mississippi(6)",28051,***,554.6,508.1,604.2,N/A ,1,37,111,stable,0.3,-1.1,1.8
"Rockcastle County, Kentucky(7)",21203,***,554.5,509.1,603.1,N/A ,2,105,118,rising,0.8,0.1,1.4
"Vilas County, Wisconsin(6)",55125,***,554.3,519,591.9,N/A ,1,8,232,stable,-3.7,-7.9,0.7
"Salem County, New Jersey(7)",34033,***,554.1,531,578.1,N/A ,1,6,462,stable,0.0,-0.5,0.4
"Lowndes County, Alabama(6)",1085,***,553.9,497.6,615.2,N/A ,1,21,76,rising,9.6,1.5,18.4
"Renville County, North Dakota(6)",38075,***,553.7,441.1,687.9,N/A ,1,41,18,stable,2.0,-1.1,5.1
"Clay County, Arkansas(6)",5021,***,553.7,508.1,602.6,N/A ,1,31,119,rising,2.1,0.7,3.6
"Niagara County, New York(7)",36063,***,552.5,539.9,565.3,N/A ,1,12,1579,stable,0.0,-0.3,0.3
"Grayson County, Kentucky(7)",21085,***,552,515.7,590.4,N/A ,3,100,182,stable,0.6,-0.4,1.7
"Christian County, Illinois(6)",17021,***,551.7,521.1,583.9,N/A ,1,34,256,stable,-0.2,-0.8,0.4
"Jefferson County, New York(7)",36045,***,551.5,532,571.5,N/A ,1,21,628,stable,0.1,-0.4,0.6
"Marion County, Kentucky(7)",21155,***,551.3,508.2,597.2,N/A ,3,103,127,stable,0.9,-0.1,1.9
"Lawrence County, Arkansas(6)",5075,***,551,506.5,598.5,N/A ,1,33,123,rising,8.6,3.1,14.5
"Monroe County, Arkansas(6)",5095,***,550.7,487.3,620.9,N/A ,1,51,61,stable,0.4,-1.3,2.0
"Vinton County, Ohio(6)",39163,***,550.6,499.5,605.7,N/A ,1,40,92,stable,0.5,-1.0,2.0
"Sargent County, North Dakota(6)",38081,***,550.1,457.8,656.7,N/A ,1,37,29,stable,0.8,-2.1,3.9
"Bullitt County, Kentucky(7)",21029,***,550,527.9,572.8,N/A ,11,75,498,stable,0.0,-0.6,0.6
"Monona County, Iowa(7)",19133,***,549.8,491.1,614.2,N/A ,1,75,77,stable,0.4,-0.2,1.0
"Boone County, West Virginia(6)",54005,***,549.7,511.8,589.9,N/A ,1,21,170,stable,0.8,-0.2,1.8
"Montour County, Pennsylvania(6)",42093,***,549.6,507.7,594.2,N/A ,1,33,142,stable,0.6,-0.5,1.7
"Garrard County, Kentucky(7)",21079,***,549.1,504.9,596.3,N/A ,2,106,122,stable,-0.5,-1.5,0.5
"Hart County, Kentucky(7)",21099,***,549,505.7,595.3,N/A ,3,110,126,stable,0.8,-0.4,2.0
"Grant County, Kentucky(7)",21081,***,548.4,507.8,591.3,N/A ,3,103,143,stable,0.3,-0.4,1.0
"Clinton County, Kentucky(7)",21053,***,548.2,492.8,608.6,N/A ,1,115,76,stable,1.1,-0.6,2.9
"Swain County, North Carolina(6)",37173,***,548.1,500.5,599.2,N/A ,1,45,104,stable,1.4,-0.2,3.0
"Morgan County, Illinois(6)",17137,***,548,517.1,580.3,N/A ,1,44,253,stable,0.8,0.0,1.5
"Turner County, Georgia(7)",13287,***,547.8,484.8,617.2,N/A ,1,122,58,stable,0.1,-1.4,1.6
"Morehouse Parish, Louisiana(7)",22067,***,547.6,511.4,585.8,N/A ,1,26,184,stable,0.4,-0.5,1.3
"Franklin County, Illinois(6)",17055,***,547.4,519.2,577,N/A ,1,37,302,stable,-0.4,-1.2,0.5
"Harlan County, Kentucky(7)",21095,***,547.4,512.2,584.4,N/A ,5,100,195,stable,0.5,-0.5,1.5
"Poinsett County, Arkansas(6)",5111,***,547.4,510.2,586.7,N/A ,1,26,170,stable,0.6,-0.3,1.6
"Decatur County, Iowa(7)",19053,***,546.6,479.6,620.8,N/A ,1,85,55,stable,0.4,-0.2,1.1
"Laurel County, Kentucky(7)",21125,***,546.3,521.8,571.7,N/A ,10,83,393,stable,0.3,-0.2,0.8
"Hernando County, Florida(6)",12053,***,546.2,533.4,559.2,N/A ,2,4,1667,stable,-2.2,-5.0,0.8
"Marion County, Missouri(6)",29127,***,545.6,510.9,582.2,N/A ,1,19,195,stable,0.8,-0.1,1.7
"Clay County, West Virginia(6)",54015,***,545.3,485.8,610.7,N/A ,1,38,66,stable,-0.6,-2.2,1.0
"Clark County, Kentucky(7)",21049,***,545.3,514.4,577.7,N/A ,7,95,245,falling,-6.5,-12.3,-0.3
"Macon County, Illinois(6)",17115,***,545.2,527.6,563.3,N/A ,1,27,786,stable,-0.4,-0.9,0.0
"Greene County, Illinois(6)",17061,***,545.2,496.7,597.4,N/A ,1,80,99,stable,0.3,-0.9,1.6
"Marion County, Illinois(6)",17121,***,545.1,515.9,575.7,N/A ,1,40,282,stable,-0.1,-0.7,0.5
"Yalobusha County, Mississippi(6)",28161,***,544.8,494.9,598.8,N/A ,1,45,95,falling,-8.5,-13.6,-3.1
"Sussex County, Virginia(6)",51183,***,544.4,491.7,601.7,N/A ,1,52,81,rising,1.4,0.1,2.7
"Robertson County, Kentucky(7)",21201,***,543.6,428.9,682.9,N/A ,1,120,17,stable,1.7,-1.2,4.8
"De Witt County, Illinois(6)",17039,***,543.3,498.9,590.9,N/A ,1,64,118,stable,-5.9,-11.9,0.5
"Brule County, South Dakota(6)",46015,***,543.1,465,631.3,N/A ,1,47,37,stable,0.7,-2.0,3.5
"Fulton County, New York(7)",36035,***,543.1,518.6,568.4,N/A ,1,33,398,stable,-0.3,-0.9,0.3
"Claiborne County, Tennessee(6)",47025,***,542.8,510.7,576.4,N/A ,1,26,233,rising,1.0,0.2,1.8
"Erie County, New York(7)",36029,***,542.4,536.3,548.6,N/A ,2,12,6402,stable,-1.0,-2.0,0.0
"Webster County, West Virginia(6)",54101,***,542,483.2,606.8,N/A ,1,39,70,stable,1.4,-0.4,3.2
"Waynesboro City, Virginia(6)",51820,***,541.7,502.9,582.9,N/A ,1,39,152,stable,0.5,-0.4,1.3
"Wolfe County, Kentucky(7)",21237,***,541.6,476,614.4,N/A ,1,118,53,stable,-1.0,-2.5,0.4
"Gloucester County, New Jersey(7)",34015,***,541.6,530.3,553,N/A ,1,5,1853,stable,-0.2,-0.5,0.0
"Clay County, Illinois(6)",17025,***,541.5,493.8,592.9,N/A ,1,73,103,stable,0.1,-0.9,1.0
"Oswego County, New York(7)",36075,***,541.3,523.9,559.2,N/A ,1,26,776,stable,-0.3,-0.8,0.2
"Rosebud County, Montana(6)",30087,***,541.1,477.4,611,N/A ,1,29,57,stable,0.5,-1.1,2.2
"Montgomery County, Iowa(7)",19137,***,541,486.8,600.1,N/A ,1,80,81,stable,0.5,0.0,0.9
"Douglas County, South Dakota(6)",46043,***,540.8,433,668.4,N/A ,1,56,22,stable,1.2,-1.5,4.0
"Menard County, Illinois(6)",17129,***,540.6,490,595.3,N/A ,1,81,91,stable,5.6,-1.1,12.8
"Iberville Parish, Louisiana(7)",22047,***,539.8,507,574.3,N/A ,1,26,212,stable,-1.7,-3.5,0.0
"Benton County, Tennessee(6)",47005,***,539.2,497.1,584.4,N/A ,1,44,135,rising,1.4,0.2,2.6
"Barren County, Kentucky(7)",21009,***,539,511.2,568,N/A ,11,95,295,rising,0.7,0.2,1.3
"Pendleton County, Kentucky(7)",21191,***,539,489.7,592,N/A ,3,115,94,stable,0.2,-0.6,1.1
"Hamilton County, Illinois(6)",17065,***,538.8,479.7,603.9,N/A ,1,86,65,rising,1.9,0.3,3.6
"Ford County, Illinois(6)",17053,***,538.7,490.5,590.8,N/A ,1,75,99,stable,0.1,-1.2,1.5
"Montgomery County, Kentucky(7)",21173,***,538.5,502.5,576.4,N/A ,7,107,174,stable,0.4,-0.4,1.2
"Mississippi County, Missouri(6)",29133,***,538.1,489.9,590,N/A ,1,50,94,stable,0.9,-0.2,2.1
"Greene County, Iowa(7)",19073,***,537.9,481.3,600,N/A ,1,82,74,rising,1.1,0.2,2.0
"Wicomico County, Maryland(6)",24045,***,537.5,518.2,557.3,N/A ,1,4,622,stable,0.5,-0.3,1.2
"Oneida County, Wisconsin(6)",55085,***,537.3,509.2,566.8,N/A ,1,11,319,stable,0.0,-0.8,0.8
"Spink County, South Dakota(6)",46115,***,536.9,465.8,616.2,N/A ,1,44,48,stable,0.0,-2.2,2.3
"McCook County, South Dakota(6)",46087,***,536.5,460.4,622.2,N/A ,1,46,39,stable,0.3,-1.4,2.0
"Lewis County, West Virginia(6)",54041,***,536.5,494.1,581.8,N/A ,1,31,126,stable,0.0,-1.6,1.7
"Richmond County, Virginia(6)",51159,***,536.4,480.2,598.2,N/A ,1,64,69,rising,3.8,1.3,6.4
"Henry County, Kentucky(7)",21103,***,536.2,490.5,585.3,N/A ,5,115,108,stable,0.0,-1.1,1.1
"Suffolk County, New York(7)",36103,***,536.1,531.2,540.9,N/A ,4,16,9819,falling,-0.4,-0.6,-0.2
"Butler County, Kentucky(7)",21031,***,536,485.5,590.6,N/A ,3,116,88,stable,0.0,-1.2,1.1
"Pulaski County, Kentucky(7)",21199,***,536,513.5,559.3,N/A ,16,88,453,stable,-0.3,-0.7,0.1
"Treasure County, Montana(6)",30103,***,535.9,359.1,796.1,N/A ,1,56,7,stable,-2.9,-7.1,1.6
"Franklin City, Virginia(6)",51620,***,535.9,473,605.3,N/A ,1,78,58,stable,0.5,-1.3,2.3
"Anderson County, Kentucky(7)",21005,***,535.9,495.8,578.5,N/A ,6,111,139,stable,-0.5,-1.7,0.7
"Hardin County, Kentucky(7)",21093,***,535.4,516.3,555.1,N/A ,18,87,614,stable,-0.2,-0.6,0.1
"Scott County, Illinois(6)",17171,***,535.4,461.5,619.2,N/A ,1,100,40,stable,1.0,-0.6,2.7
"Kiowa County, Colorado(6)",8061,***,535.3,383.7,730.1,N/A ,1,55,11,stable,0.6,-3.5,4.8
"Carroll County, Iowa(7)",19027,***,535.2,495.7,577.2,N/A ,1,59,153,rising,3.1,0.5,5.8
"Dickinson County, Iowa(7)",19059,***,534.9,494.4,578.4,N/A ,1,64,151,stable,0.3,-0.1,0.8
"Clarke County, Iowa(7)",19039,***,534.4,475.2,599.3,N/A ,1,85,64,stable,0.8,0.0,1.6
"Lexington City, Virginia(6)",51678,***,534.2,452.2,628.6,N/A ,1,106,38,rising,4.6,1.8,7.5
"Page County, Iowa(7)",19145,***,533.5,490.6,579.6,N/A ,1,68,126,rising,0.7,0.1,1.2
"Cass County, Illinois(6)",17017,***,533.4,483.5,587.4,N/A ,1,80,87,stable,0.2,-1.3,1.7
"Boyd County, Kentucky(7)",21019,***,533.2,507.7,559.7,N/A ,15,96,348,falling,-0.6,-1.1,-0.1
"Quitman County, Georgia(7)",13239,***,533.1,430.9,657.6,N/A ,1,153,22,stable,0.9,-1.4,3.2
"Minnehaha County, South Dakota(6)",46099,***,532.9,517.7,548.6,N/A ,3,20,985,stable,-0.2,-0.9,0.4
"Morgan County, Indiana(6)",18109,***,532.9,510.6,556.1,N/A ,1,15,456,stable,-3.3,-8.8,2.6
"Hamilton County, New York(7)",36041,***,532.8,459.2,618.2,N/A ,1,62,47,stable,-1.0,-2.5,0.5
"Letcher County, Kentucky(7)",21133,***,532.6,495.3,572.2,N/A ,8,110,164,stable,-0.1,-1.1,0.9
"Sangamon County, Illinois(6)",17167,***,532.5,519.3,545.9,N/A ,4,30,1315,stable,-0.1,-0.6,0.5
"Hardin County, Iowa(7)",19083,***,532.4,490.7,577.1,N/A ,1,64,136,stable,0.1,-0.4,0.6
"Clinch County, Georgia(7)",13065,***,532.3,460.3,612.6,N/A ,1,135,42,stable,-0.3,-1.7,1.2
"Cecil County, Maryland(6)",24015,***,531.8,512.8,551.3,N/A ,1,5,635,rising,0.8,0.1,1.5
"Wyoming County, New York(7)",36121,***,531.8,503.2,561.7,N/A ,1,44,274,stable,0.0,-0.9,0.9
"Lawrence County, Ohio(6)",39087,***,531.6,508.6,555.5,N/A ,1,16,423,stable,-0.1,-1.4,1.2
"Hyde County, South Dakota(6)",46069,***,531.1,379.8,726,N/A ,1,63,10,stable,0.8,-1.6,3.3
"Madison County, Missouri(6)",29123,***,531,480.7,585.5,N/A ,1,62,87,stable,0.4,-0.9,1.7
"Tishomingo County, Mississippi(6)",28141,***,530.7,490.6,573.4,N/A ,1,45,141,rising,1.0,0.2,1.8
"White County, Illinois(6)",17193,***,530.5,485,579.5,N/A ,1,81,111,stable,0.8,-0.3,1.8
"Galax City, Virginia(6)",51640,***,530.4,463.3,605.2,N/A ,1,89,49,stable,18.8,-5.8,49.8
"Wayne County, New York(7)",36117,***,530.4,511.5,549.8,N/A ,1,37,637,stable,0.1,-0.5,0.7
"Onslow County, North Carolina(6)",37133,***,530.3,512.8,548.2,N/A ,1,16,726,stable,0.5,0.0,1.0
"Shelby County, Missouri(6)",29205,***,530.2,460.2,608.8,N/A ,1,87,45,stable,0.1,-1.4,1.5
"Lumpkin County, Georgia(7)",13187,***,530.1,496,566.1,N/A ,1,80,197,stable,0.1,-0.9,1.2
"Martin County, Kentucky(7)",21159,***,530,476.5,588.2,N/A ,2,117,76,stable,0.5,-0.7,1.8
"Trimble County, Kentucky(7)",21223,***,530,468.4,597.7,N/A ,2,119,57,stable,1.4,-0.5,3.3
"Chemung County, New York(7)",36015,***,529.8,510.3,549.9,N/A ,1,38,597,stable,-0.5,-1.0,0.0
"Delta County, Texas(6)",48119,***,529.5,455.5,613.2,N/A ,1,124,40,stable,1.7,-0.1,3.5
"Daviess County, Kentucky(7)",21059,***,529.3,510.9,548.3,N/A ,23,90,652,stable,0.3,-0.3,0.9
"Orleans County, New York(7)",36073,***,529.2,501.1,558.6,N/A ,1,45,282,stable,0.3,-0.4,0.9
"Chautauqua County, New York(7)",36013,***,529,513.3,545.1,N/A ,2,33,937,stable,0.1,-0.4,0.5
"Upson County, Georgia(7)",13293,***,528.9,494.3,565.4,N/A ,1,83,185,stable,0.4,-0.4,1.3
"Greensville County, Virginia(6)",51081,***,528.9,475.9,586.5,N/A ,1,68,76,stable,0.6,-1.3,2.5
"Saratoga County, New York(7)",36091,***,528.6,516.4,541,N/A ,4,29,1514,stable,-0.2,-0.6,0.2
"Richmond County, New York(7)",36085,***,528.5,519.8,537.3,N/A ,5,25,2965,stable,0.0,-0.3,0.2
