,State,Average_Population,Population_per_100K,Cases_per_100K,Total_Cases
0,CA,38893516.2,388.93516200000005,404.6,157363.16654520002
1,TX,27442725.8,274.427258,407.7,111883.99308659999
2,NY,19635618.4,196.35618399999998,485.2,95272.0204768
3,FL,20250907.8,202.50907800000002,457.1,92566.89955380002
4,PA,12785093.2,127.85093199999999,484.6,61956.5616472
5,IL,12852932.8,128.52932800000002,465.5,59830.40218400001
6,OH,11619306.2,116.193062,465.3,54064.6317486
7,GA,10188251.2,101.88251199999999,467.0,47579.13310399999
8,NC,10047620.2,100.47620199999999,468.4,47063.05301679999
9,MI,9940969.6,99.409696,448.8,44615.0715648
10,NJ,8871814.0,88.71814,485.9,43108.144226000004
11,VA,8360837.8,83.608378,416.1,34789.4460858
12,WA,7179800.0,71.798,446.2,32036.2676
13,MA,6792551.0,67.92551,452.7,30749.878377
14,TN,6595774.2,65.957742,463.3,30558.221868599998
15,IN,6612724.4,66.127244,459.3,30372.243169200003
16,MO,6072902.2,60.729022,454.9,27625.6321078
17,MD,5979633.8,59.796338,453.8,27135.5781844
18,WI,5763068.2,57.630682,464.5,26769.451789
19,AZ,6839352.6,68.393526,386.7,26447.776504199996
20,MN,5487856.4,54.878564000000004,467.4,25650.2408136
21,KY,4427480.4,44.274804,519.6,23005.188158400004
22,LA,4656533.0,46.56533,481.0,22397.923730000002
23,SC,4891930.6,48.919306,454.1,22214.2568546
24,AL,4853193.2,48.531932000000005,451.5,21912.167298000004
25,CO,5446126.0,54.46126,399.1,21735.488866000003
26,OK,3900162.4,39.001624,449.8,17542.9304752
27,OR,4028385.6,40.283856,434.3,17495.2786608
28,CT,3585952.2,35.859522,470.6,16875.4910532
29,IA,3119892.8,31.198928,479.0,14944.286511999999
30,AR,2979817.8,29.798177999999997,472.8,14088.578558399999
31,MS,2989214.8,29.892148,470.6,14067.2448488
32,KS,2905172.0,29.05172,452.4,13142.998128
33,UT,2992710.8,29.927107999999997,402.3,12039.675548399999
34,NV,2871365.4,28.713654,397.2,11405.0633688
35,WV,1838662.6,18.386626,478.9,8805.3551914
36,NE,1891988.4,18.919884,461.9,8739.0944196
37,NM,2091905.8,20.919058,374.9,7842.554844199999
38,ID,1659273.2,16.592731999999998,442.2,7337.3060903999985
39,NH,1337613.0,13.37613,482.4,6452.645111999999
40,ME,1330774.6,13.307746000000002,474.3,6311.863927800001
41,HI,1419621.4,14.196214,416.5,5912.723131
42,RI,1056172.2,10.561722,473.6,5002.0315392
43,MT,1031982.2,10.319822,459.7,4744.0221734
44,DE,940788.2,9.407881999999999,488.2,4592.927992399999
45,SD,856293.4,8.562934,459.1,3931.2429994000004
46,ND,744586.4,7.445864,453.8,3378.9330832
47,AK,738437.8,7.384378000000001,417.2,3080.7625016
48,DC,674092.8,6.740928,429.1,2892.5322048000003
49,VT,624959.2,6.249592,454.4,2839.8146048
50,WY,582712.6,5.827126,400.6,2334.3466756000003
