State,Landfill Name,Current Landfill Status,Latitude,Longitude
AK,Anchorage Regional Landfill,Open,61.29328100000001,-149.602138
AK,Capitol Disposal Landfill,Open,58.3528,-134.4947
AK,Central Peninsula Landfill (CPL),Open,60.447140000000005,-151.10369
AK,Palmer Central Landfill,Open,61.59,-149.21
AK,South Cushman Landfill,Open,64.80476,-147.70085
AL,Arrowhead Landfill,Open,32.413000000000004,-87.4685
AL,Black Warrior Solid Waste Facility,Open,33.243140000000004,-87.66585
AL,Brundidge Landfill,Open,31.7041,-85.8299
AL,Cedar Hill Landfill,Open,33.68345,-86.25272
AL,Chastang SLF,Open,31.061790000000002,-88.02503
AL,City of Decatur-Morgan County Regional MSW Landfill,Open,34.6175,-87.10163
AL,City of Dothan SLF MSWLF,Open,31.238766,-85.356721
AL,Coffee County Sanitary Landfill,Open,31.507053000000003,-86.000975
AL,Cullman Environmental Waste Management Center,Open,34.02878,-86.90069
AL,Eastern Area Landfill,Open,33.5978,-86.6288
AL,Huntsville MSWLF,Open,34.6885,-86.59200000000001
AL,Jefferson County LF No. 1,Open,33.711,-86.87299999999999
AL,Jefferson County LF No. 2,Open,33.7077,-86.7104
AL,Magnolia Subtitle D MSW LF,Open,30.45727,-87.7761
AL,Morris Farm Landfill,Open,34.70381,-87.22116
AL,New Georgia MSWLF,Open,33.585,-86.815
AL,North Montgomery SLF MSWLF,Open,32.4131,-86.3245
AL,Pine View SLF MSWLF,Open,33.71458,-87.04981
AL,Salem Landfill,Open,32.65347,-85.2636
AL,Sand Valley Landfill,Open,34.342,-85.86200000000001
AL,Scottsboro Landfill,Open,34.756,-85.919
AL,Shelby County Highway 70 Landfill,Open,33.171785,-86.687566
AL,Shoals Solid Waste Disposal Authority (SSWDA) LF,Open,34.694,-87.6609
AL,Star Ridge Landfill,Open,33.605270000000004,-86.51658
AL,"Stones Throw Landfill, LLC",Open,32.5154,-85.8311
AL,Three Corners Landfill,Open,33.9962,-85.7254
AL,Timberlands Landfill,Open,31.2593,-87.1923
AL,"Turkey Trot Landfill, LLC",Open,31.158479999999997,-88.19
AL,Willow Ridge Landfill,Open,34.17569,-87.60779000000001
AR,Ashley County Landfill,Open,33.211999999999996,-91.84759
AR,Cherokee Village Landfill,Open,36.281259999999996,-91.63128
AR,City of Conway Landfill,Open,35.1119,-92.5068
AR,City of Helena - West Helena Regional LF,Open,34.56726,-90.62899999999999
AR,City of Hope Landfill,Open,33.6422,-93.6781
AR,City of Morrilton Landfill,Open,35.1297,-92.6976
AR,Craighead County Solid Waste Disposal Authority LF,Open,35.719434,-90.68862
AR,Crittenden County Sanitary Landfill,Open,35.13597,-90.25605999999999
AR,Eco-Vista Landfill,Open,36.140147,-94.256073
AR,EMS Class 1 Landfill,Open,34.311,-91.272
AR,Fort Smith SLF,Open,35.2926,-94.3704
AR,Jackson County Landfill,Open,35.5894,-91.0922
AR,Jefferson County Landfill,Open,34.346759999999996,-92.19214000000001
AR,Little Rock City SW Landfill,Open,34.65129,-92.30241
AR,Mississippi County LF,Open,35.78,-89.97
AR,Northeast AR RSWMD Landfill Phases 2 & 3,Open,36.085,-90.4539
